Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,altLabel,comment,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2004/02/skos/core#notation,id,label,may_be_caused_by,may_cause
rgo:22812,glucocorticoid,,,false,,,rgo:00000,,,SNOMEDCT:419933005,,RGO:22812,RGO:22812,glucocorticoid,,
rgo:22811,major liver resection,,,false,,,rgo:00000,,,,,RGO:22811,RGO:22811,major liver resection,,
rgo:22817,antacid medication,,,false,,,rgo:33195,,,,,RGO:22817,RGO:22817,antacid medication,,
rgo:22814,rapid mineralization,,,false,,,rgo:00000,,,,,RGO:22814,RGO:22814,rapid mineralization,,
rgo:22819,bone expansion,,,false,,,rgo:00000,,,,,RGO:22819,RGO:22819,bone expansion,,
rgo:22815,respiratory alkalosis,,,false,,,rgo:00000,,,ICD10CM:E87.3|SNOMEDCT:111378004|HP:0001950,,RGO:22815,RGO:22815,respiratory alkalosis,,
rgo:22816,chronic vomiting,,,false,,,rgo:00000,,,SNOMEDCT:63722008,,RGO:22816,RGO:22816,chronic vomiting,,
rgo:14106,thoracic outlet syndrome,,,false,,,rgo:00000,,,SNOMEDCT:128210009|ICD10CM:G54.0|RADLEX:RID3304|DOID:3103|ORDO:97330,,RGO:14106,RGO:14106,thoracic outlet syndrome,,
rgo:14105,ergotism,,,false,,,rgo:00000,,,SNOMEDCT:51510002,,RGO:14105,RGO:14105,ergotism,,
rgo:14104,african idiopathic aortitis,,,false,,,rgo:00000,,,,,RGO:14104,RGO:14104,african idiopathic aortitis,,
rgo:14108,dilated azygos vein,,,false,,,rgo:00000,azygos vein dilatation,,,,RGO:14108,RGO:14108,dilated azygos vein,,
rgo:14102,connective tissue disease,,,false,,,rgo:00000,collagen disease|CTD,,SNOMEDCT:105969002|DOID:65,,RGO:14102,RGO:14102,connective tissue disease,,
rgo:14107,vibratory tools,,,false,,,rgo:00000,,,,,RGO:14107,RGO:14107,vibratory tools,,
rgo:12076,digitotalar dysmorphism,,,false,,,rgo:00000,,,SNOMEDCT:715314008|ORDO:1146,,RGO:12076,RGO:12076,digitotalar dysmorphism,,
rgo:12070,acquired short hands and feet,,,false,,,rgo:31714,,,,,RGO:12070,RGO:12070,acquired short hands and feet,,
rgo:12078,large hands for age,,,false,,,rgo:00000,,,,,RGO:12078,RGO:12078,large hands for age,,
rgo:00021,idiopathic diffuse esophageal spasm,,,false,,,rgo:00000,,,,,RGO:00021,RGO:00021,idiopathic diffuse esophageal spasm,,
rgo:00020,cricopharyngeal achalasia,,,false,,,rgo:00000,,,SNOMEDCT:71363005,,RGO:00020,RGO:00020,cricopharyngeal achalasia,,
rgo:00027,scleroderma,,,false,,,rgo:14102,progressive systemic sclerosis|systemic sclerosis,,SNOMEDCT:422801000|SNOMEDCT:89155008|RADLEX:RID34592|DOID:418|DOID:419|HP:0100324|ORDO:801,,RGO:00027,RGO:00027,scleroderma,,
rgo:00028,alcoholic neuropathy,,,false,,,rgo:00000,,,DOID:14183,,RGO:00028,RGO:00028,alcoholic neuropathy,,
