layer_idx,base_alpha,ft_alpha,delta_alpha,abs_delta,layer_name
97,5.056723414968786,4.165808290907799,-0.8909151240609869,0.8909151240609869,up_proj
180,5.705106245429629,4.837881133718128,-0.8672251117115017,0.8672251117115017,gate_proj
14,5.258055686791309,4.430636911404439,-0.82741877538687,0.82741877538687,down_proj
173,5.517769827205445,4.694683967929957,-0.8230858592754879,0.8230858592754879,gate_proj
194,5.6109738855122595,4.788911850072422,-0.8220620354398376,0.8220620354398376,gate_proj
155,4.401658133903682,3.5917617848951373,-0.8098963490085449,0.8098963490085449,q_proj
166,5.2966128966354,4.504644177484976,-0.7919687191504243,0.7919687191504243,gate_proj
159,5.172697215170517,4.419189802733688,-0.7535074124368295,0.7535074124368295,gate_proj
70,3.817228954730105,4.558107577742455,0.7408786230123505,0.7408786230123505,down_proj
76,5.023384660332675,4.284458701432694,-0.7389259588999808,0.7389259588999808,up_proj
71,3.998581698106897,4.722628578051688,0.7240468799447908,0.7240468799447908,q_proj
19,3.9533401265898727,3.2379213662978525,-0.7154187602920201,0.7154187602920201,gate_proj
30,3.9481113622261703,4.66022612607751,0.7121147638513396,0.7121147638513396,k_proj
131,4.614986949098938,3.919344801893027,-0.6956421472059113,0.6956421472059113,gate_proj
216,5.201518176662218,4.510979337834135,-0.6905388388280835,0.6905388388280835,up_proj
168,5.93560821817327,5.2465397012936785,-0.6890685168795914,0.6890685168795914,down_proj
138,4.746387493556341,4.0586187649196335,-0.6877687286367076,0.6877687286367076,gate_proj
35,5.754250876315558,5.087221022184755,-0.6670298541308028,0.6670298541308028,down_proj
90,4.78276615690154,4.132372660231594,-0.6503934966699463,0.6503934966699463,up_proj
69,5.060736621203355,4.426643535754909,-0.6340930854484457,0.6340930854484457,up_proj
117,4.462145744536688,3.8704573491694596,-0.5916883953672283,0.5916883953672283,gate_proj
83,4.686170541422383,4.097325748568416,-0.5888447928539673,0.5888447928539673,up_proj
80,8.60406951893166,8.030871733328276,-0.5731977856033836,0.5731977856033836,v_proj
145,4.727878388120152,4.160025297584848,-0.5678530905353032,0.5678530905353032,gate_proj
152,4.814342702672137,4.247538191804825,-0.5668045108673123,0.5668045108673123,gate_proj
104,4.669185757865561,4.1256917395471575,-0.5434940183184036,0.5434940183184036,up_proj
156,5.8085359147952556,5.277410079113832,-0.5311258356814239,0.5311258356814239,k_proj
144,4.5641887718286664,4.036747514744135,-0.527441257084531,0.527441257084531,o_proj
193,4.280918489105067,3.7732709854386157,-0.5076475036664516,0.5076475036664516,o_proj
214,4.828352511333993,4.340917572251753,-0.4874349390822399,0.4874349390822399,o_proj
133,5.602292294638671,5.119478502408184,-0.4828137922304867,0.4828137922304867,down_proj
130,5.065625732170878,4.5854805245255905,-0.4801452076452879,0.4801452076452879,o_proj
176,4.386863399550959,3.917372275922787,-0.46949112362817225,0.46949112362817225,q_proj
201,4.847927733357338,4.384052149969037,-0.46387558338830104,0.46387558338830104,gate_proj
208,3.8547260174530456,3.3934383180877847,-0.4612876993652608,0.4612876993652608,gate_proj
136,5.813158021326174,5.372819321190772,-0.4403387001354018,0.4403387001354018,v_proj
110,4.006777539460279,3.5871500526986564,-0.4196274867616223,0.4196274867616223,gate_proj
162,4.236487787653232,3.8244617876163662,-0.4120260000368656,0.4120260000368656,q_proj
18,4.044250602751106,3.664962841811531,-0.3792877609395746,0.3792877609395746,o_proj
39,4.36160694209139,3.9901115669456013,-0.37149537514578856,0.37149537514578856,o_proj
170,5.36167821813742,4.9987697480031414,-0.3629084701342782,0.3629084701342782,k_proj
74,4.250544369035332,3.897046924840314,-0.3534974441950176,0.3534974441950176,o_proj
89,3.8170960705582466,3.472640600432477,-0.3444554701257698,0.3444554701257698,gate_proj
126,4.663903315994764,4.325812527686558,-0.3380907883082056,0.3380907883082056,down_proj
66,5.691743784485717,5.35686775680648,-0.3348760276792371,0.3348760276792371,v_proj
67,3.6900420060034764,3.377423862932245,-0.31261814307123137,0.31261814307123137,o_proj
25,3.9956988671471136,3.7001180253622055,-0.2955808417849082,0.2955808417849082,o_proj
215,3.6680545116582377,3.382978513533941,-0.2850759981242965,0.2850759981242965,gate_proj
60,5.272562475947683,4.995449398451626,-0.2771130774960566,0.2771130774960566,o_proj
182,4.395000849393984,4.12033671219646,-0.274664137197524,0.274664137197524,down_proj
91,4.180851209009993,3.9091306360732876,-0.2717205729367054,0.2717205729367054,down_proj
119,4.556682359711532,4.28653244389338,-0.27014991581815195,0.27014991581815195,down_proj
105,4.371694603734223,4.101590235352335,-0.27010436838188845,0.27010436838188845,down_proj
165,4.211626610781346,3.947900128680782,-0.26372648210056404,0.26372648210056404,o_proj
46,4.047400272010265,3.784802541319766,-0.26259773069049874,0.26259773069049874,o_proj
112,4.562737243497815,4.3008760972921944,-0.2618611462056206,0.2618611462056206,down_proj
21,4.385500060461787,4.124377261965479,-0.2611227984963085,0.2611227984963085,down_proj
109,4.45314427378378,4.194104560944131,-0.2590397128396482,0.2590397128396482,o_proj
148,4.710965388372161,4.4533195751722205,-0.2576458131999404,0.2576458131999404,q_proj
203,4.3414235166917345,4.084321456685972,-0.25710206000576274,0.25710206000576274,down_proj
103,3.7716399178460667,3.516137636666329,-0.2555022811797376,0.2555022811797376,gate_proj
177,5.306594346662196,5.056911987675169,-0.24968235898702762,0.24968235898702762,k_proj
223,4.162524086247376,3.920338058992264,-0.24218602725511174,0.24218602725511174,up_proj
